Team,coef
Egypt ,"0.194444444444444"
Uruguay,"0.733333333333333"
South Korea,"0.444444444444444"
Mexico,"0.333333333333333"
Saudi Arabia,"0.222222222222222"
Belgium,"0.854421768707483"
Panama,"0.492063492063492"
Poland,"0.444444444444444"
Colombia,"0.708333333333333"
France,"0.700680272108844"
Peru,"0.333333333333333"
Senegal,"0.388888888888889"
Sweden,"0.666666666666667"
Portugal,"0.583333333333333"
Spain,"0.625"
Serbia,"0.5"
Brazil,"0.766666666666667"
Germany,"0.222222222222222"
Switzerland,"0.416666666666667"
Tunisia,"0.428571428571429"
England,"0.479591836734694"
Argentina,"0.398809523809524"
Croatia,"0.666666666666667"
Denmark,"0.5"
Nigeria,"0.444444444444444"
Iceland,"0.277777777777778"
Costa Rica,"0.166666666666667"
Australia,"0.277777777777778"
Russia,"0.55"
Japan,"0.391666666666667"
Morocco,"0.166666666666667"
Iran,"0.5"
